step	recall
0	0.7998403906822205
1	0.826524019241333
2	0.840851366519928
3	0.8458806276321411
4	0.8481293320655823
5	0.8545182943344116
6	0.8560413718223572
7	0.8633618950843811
8	0.8665833473205566
9	0.8750588297843933
10	0.8774327635765076
11	0.8830490112304688
12	0.8880865573883057
13	0.8869823813438416
14	0.8890155553817749
15	0.8904613256454468
16	0.8922723531723022
17	0.8924442529678345
18	0.8956469893455505
19	0.9000914096832275
20	0.9033509492874146
21	0.9073745012283325
22	0.9111875295639038
23	0.9119977951049805
24	0.9158293604850769
25	0.9166419506072998
26	0.9153956174850464
27	0.915843665599823
28	0.9188570976257324
29	0.9168477654457092
30	0.9176859259605408
31	0.9204530715942383
32	0.9254507422447205
33	0.9298766851425171
34	0.9305079579353333
35	0.9325525164604187
36	0.9310770034790039
37	0.9363116025924683
38	0.9343106150627136
39	0.9356571435928345
40	0.9285805225372314
41	0.9329172372817993
42	0.9331915378570557
43	0.9374822378158569
44	0.9399365782737732
45	0.9417300224304199
46	0.9433683156967163
47	0.9453154802322388
48	0.9453625679016113
49	0.9468221664428711
50	0.9460019469261169
51	0.9454599618911743
52	0.9455037117004395
53	0.9367987513542175
54	0.9354317784309387
55	0.946910560131073
56	0.9490232467651367
57	0.9504073858261108
58	0.95160311460495
59	0.9519275426864624
60	0.9541143774986267
61	0.9543606042861938
62	0.9536377787590027
63	0.953236997127533
64	0.9532210230827332
65	0.9514045715332031
66	0.9464185833930969
67	0.9503365755081177
68	0.936569094657898
69	0.9514934420585632
70	0.9556755423545837
71	0.9582383632659912
72	0.9592992067337036
73	0.9602787494659424
74	0.9601276516914368
75	0.959568202495575
76	0.9596491456031799
77	0.9553484320640564
78	0.953637957572937
79	0.9548695087432861
80	0.9556761980056763
81	0.9610462784767151
82	0.9626055359840393
83	0.9632408022880554
84	0.9638442993164062
85	0.9645166397094727
86	0.9652273654937744
87	0.9643138647079468
88	0.9639209508895874
89	0.9586703777313232
90	0.9586939811706543
91	0.9630821943283081
92	0.9655139446258545
93	0.9661062955856323
94	0.9666405916213989
95	0.9676306247711182
96	0.9679918885231018
97	0.9688133001327515
98	0.9692692756652832
99	0.9687305688858032
100	0.967236340045929
101	0.9669733047485352
102	0.9368199706077576
103	0.9463405013084412
104	0.962138831615448
105	0.9663591384887695
106	0.9683389663696289
107	0.9698401689529419
108	0.9705643057823181
109	0.9709963202476501
110	0.971980094909668
111	0.9713728427886963
112	0.9712310433387756
113	0.9699169397354126
114	0.9690183401107788
115	0.9686924815177917
116	0.9650804400444031
117	0.9528293013572693
118	0.9652066826820374
119	0.9704484939575195
120	0.9721758961677551
121	0.9730395674705505
122	0.9734901785850525
123	0.9734570384025574
124	0.9731005430221558
125	0.9721658229827881
126	0.9692723155021667
127	0.9647176265716553
128	0.9478861093521118
