step	precision
0	0.7907512187957764
1	0.8259252905845642
2	0.8377622365951538
3	0.8434736728668213
4	0.8485842347145081
5	0.8548194766044617
6	0.8606747984886169
7	0.867617666721344
8	0.8719713091850281
9	0.8801394104957581
10	0.8834367990493774
11	0.8891057372093201
12	0.8933651447296143
13	0.8938461542129517
14	0.897717297077179
15	0.898295521736145
16	0.8976409435272217
17	0.8989427089691162
18	0.9024240374565125
19	0.9079573750495911
20	0.9114183783531189
21	0.9132199287414551
22	0.917701244354248
23	0.9195210337638855
24	0.9223762154579163
25	0.9246318936347961
26	0.9253668189048767
27	0.9242832064628601
28	0.9224014282226562
29	0.9218401312828064
30	0.9245507717132568
31	0.9281850457191467
32	0.9331289529800415
33	0.9350917339324951
34	0.9383130073547363
35	0.9408140182495117
36	0.9440563321113586
37	0.944299578666687
38	0.9447149634361267
39	0.94130939245224
40	0.9401573538780212
41	0.9420598745346069
42	0.9435181617736816
43	0.9392890930175781
44	0.9456533789634705
45	0.9501153230667114
46	0.9538671970367432
47	0.9558231830596924
48	0.9577296376228333
49	0.9587033987045288
50	0.9584123492240906
51	0.9562841057777405
52	0.9364783763885498
53	0.9452317357063293
54	0.9556481838226318
55	0.9597491025924683
56	0.9608615636825562
57	0.9630440473556519
58	0.9636566042900085
59	0.9657078385353088
60	0.9671367406845093
61	0.9682877659797668
62	0.9680023193359375
63	0.9662054777145386
64	0.9648568034172058
65	0.9442542195320129
66	0.9586256146430969
67	0.9658992290496826
68	0.9685968160629272
69	0.9699920415878296
70	0.9709457755088806
71	0.9722859263420105
72	0.9735835194587708
73	0.9739317297935486
74	0.9740203022956848
75	0.9734928607940674
76	0.970514178276062
77	0.9716153740882874
78	0.951467752456665
79	0.9457197189331055
80	0.9664894938468933
81	0.9720903635025024
82	0.9744745492935181
83	0.9766802787780762
84	0.9767845273017883
85	0.9779796004295349
86	0.9777683019638062
87	0.9774417281150818
88	0.9763029217720032
89	0.9753840565681458
90	0.9590263962745667
