step	loss
0	0.1664823740720749
1	0.14310172200202942
2	0.13129743933677673
3	0.1268744170665741
4	0.12532168626785278
5	0.11950819939374924
6	0.11762262880802155
7	0.11195158213376999
8	0.10923174768686295
9	0.10211179405450821
10	0.10009226948022842
11	0.09564802050590515
12	0.09112678468227386
13	0.0917927548289299
14	0.09030866622924805
15	0.08896948397159576
16	0.08760896325111389
17	0.08740822225809097
18	0.0848352313041687
19	0.0811958909034729
20	0.0782521516084671
21	0.07500096410512924
22	0.07167287170886993
23	0.07121836394071579
24	0.06786441057920456
25	0.06721993535757065
26	0.06816256046295166
27	0.06780481338500977
28	0.06510136276483536
29	0.06670733541250229
30	0.06603953242301941
31	0.063751220703125
32	0.059512265026569366
33	0.055925507098436356
34	0.05544749274849892
35	0.053708162158727646
36	0.05500075966119766
37	0.050462979823350906
38	0.05231861397624016
39	0.05108122527599335
40	0.05662456899881363
41	0.053299542516469955
42	0.05307379737496376
43	0.049542367458343506
44	0.047493863850831985
45	0.04596539959311485
46	0.04459410905838013
47	0.043044865131378174
48	0.0430188849568367
49	0.041856296360492706
50	0.04242024943232536
51	0.042789533734321594
52	0.0427805595099926
53	0.04971419274806976
54	0.05084625631570816
55	0.04169108346104622
56	0.03983334079384804
57	0.0387718603014946
58	0.03778545558452606
59	0.03755731135606766
60	0.0357205830514431
61	0.03555428609251976
62	0.036115363240242004
63	0.03644268587231636
64	0.03637544810771942
65	0.03782565891742706
66	0.041756521910429
67	0.038562189787626266
68	0.05002207309007645
69	0.0377255342900753
70	0.034387703984975815
71	0.032410476356744766
72	0.031493451446294785
73	0.030709488317370415
74	0.03079046495258808
75	0.031207088381052017
76	0.031072596088051796
77	0.03460940718650818
78	0.03587183728814125
79	0.03487357124686241
80	0.03432659059762955
81	0.02999616041779518
82	0.028729688376188278
83	0.028261631727218628
84	0.027750175446271896
85	0.027307303622364998
86	0.02668643556535244
87	0.027332859113812447
88	0.027661137282848358
89	0.03179765120148659
90	0.031819116324186325
91	0.028249409049749374
92	0.026337401941418648
93	0.025916757062077522
94	0.025488879531621933
95	0.024699030444025993
96	0.024424966424703598
97	0.02381579764187336
98	0.023455364629626274
99	0.023823527619242668
100	0.024997085332870483
101	0.025166455656290054
102	0.050965238362550735
103	0.04179017245769501
104	0.028981877490878105
105	0.02567845955491066
106	0.024145446717739105
107	0.023052942007780075
108	0.02245301753282547
109	0.022109704092144966
110	0.02134430781006813
111	0.021782822906970978
112	0.021876385435461998
113	0.022865258157253265
114	0.02351229451596737
115	0.023791613057255745
116	0.026926275342702866
117	0.03676112741231918
118	0.026557335630059242
119	0.0224639680236578
120	0.021135080605745316
121	0.02051226608455181
122	0.020127426832914352
123	0.02014426328241825
124	0.020388254895806313
125	0.02110164985060692
126	0.023430462926626205
127	0.026972351595759392
128	0.04083089157938957
