step	one_hot_io_u
0	0.6423705816268921
1	0.6919136047363281
2	0.7119601964950562
3	0.7193232774734497
4	0.7284609079360962
5	0.7388168573379517
6	0.7473044395446777
7	0.7583303451538086
8	0.7661410570144653
9	0.7788254022598267
10	0.7847564816474915
11	0.794154167175293
12	0.8010667562484741
13	0.8020337820053101
14	0.8081569671630859
15	0.809688925743103
16	0.8086011409759521
17	0.8103471994400024
18	0.8163348436355591
19	0.8260838985443115
20	0.8323304653167725
21	0.8348444104194641
22	0.8428220748901367
23	0.8463762998580933
24	0.851586103439331
25	0.8556857109069824
26	0.8562966585159302
27	0.8548694849014282
28	0.8513973951339722
29	0.8501686453819275
30	0.8553440570831299
31	0.8616793155670166
32	0.8708600997924805
33	0.8743699193000793
34	0.8800215721130371
35	0.8846149444580078
36	0.8908258676528931
37	0.8909104466438293
38	0.8919909000396729
39	0.8853833675384521
40	0.883281946182251
41	0.8869596719741821
42	0.8895331621170044
43	0.8818590044975281
44	0.8937948942184448
45	0.901888370513916
46	0.9087424278259277
47	0.9127452373504639
48	0.9162592887878418
49	0.9181435108184814
50	0.9175851941108704
51	0.9136054515838623
52	0.8763368129730225
53	0.8930704593658447
54	0.9122662544250488
55	0.9199928045272827
56	0.9220787286758423
57	0.9263623952865601
58	0.9278386831283569
59	0.931596040725708
60	0.9342086911201477
61	0.9363520741462708
62	0.9359474778175354
63	0.9325749278068542
64	0.9296860694885254
65	0.8909313678741455
66	0.9177832007408142
67	0.9320366382598877
68	0.937092125415802
69	0.9398854374885559
70	0.9415601491928101
71	0.9442419409751892
72	0.9468492269515991
73	0.9475853443145752
74	0.94764244556427
75	0.9466187953948975
76	0.9407835602760315
77	0.9430006146430969
78	0.9042567014694214
79	0.8934718370437622
80	0.9330863952636719
81	0.9439647197723389
82	0.9485125541687012
83	0.9528595209121704
84	0.9532366394996643
85	0.9552314877510071
86	0.9551469087600708
87	0.9544112086296082
88	0.9522497057914734
89	0.9502137303352356
90	0.9186791777610779
